"id","parent_id","name","fullname","parent_name","name_ru","vehicle_type_id","slug","source","parent_model_id","freq"
18405,NULL,"Нептун","Нептун","","",NULL,"neptun","ilya_add",NULL,7
18406,18405,"Нептун 450","","Нептун","",6,"450","ilya_add",NULL,0
18407,18405,"Нептун 500","","Нептун","",6,"500","ilya_add",NULL,0
18408,18405,"Нептун 550","","Нептун","",6,"550","ilya_add",NULL,0
18409,NULL,"Campion","Campion","","",NULL,"campion","ilya_add",NULL,0
18410,18409,"Allante","","Campion","",6,"allante","ilya_add",NULL,0
18411,18409,"Chase","","Campion","",6,"chase","ilya_add",NULL,0
18412,18409,"Explorer","","Campion","",6,"explorer","ilya_add",NULL,0
18413,18409,"Svfara","","Campion","",6,"svfara","ilya_add",NULL,0
18414,18409,"Victoria","","Campion","",6,"victoria","ilya_add",NULL,0
18415,NULL,"Gulf Craft","Gulf Craft","","",NULL,"gulfcraft","ilya_add",NULL,0
18416,18415,"Ambassador","","Gulf Craft","",6,"ambassador","ilya_add",NULL,0
18417,18415,"Gulf Craft 36","","Gulf Craft","",6,"36","ilya_add",NULL,0
18418,18415,"Gulf Craft 85","","Gulf Craft","",6,"85","ilya_add",NULL,0
18419,18415,"Sindbad 38","","Gulf Craft","",6,"sindbad38","ilya_add",NULL,0
18420,18415,"SWAN","","Gulf Craft","",6,"swan","ilya_add",NULL,0
18421,NULL,"Parker","Parker","","",NULL,"parker","ilya_add",NULL,0
18422,18421,"2120","","Parker","",6,"2120","ilya_add",NULL,0
18423,18421,"660","","Parker","",6,"660","ilya_add",NULL,0
18424,NULL,"Thunder Jet","Thunder Jet","","",NULL,"thunderjet","ilya_add",NULL,0
18425,18424,"Eco Jet","","Thunder Jet","",6,"ecojet","ilya_add",NULL,0
18426,18424,"Luxor","","Thunder Jet","",6,"luxor","ilya_add",NULL,0
18427,18424,"Offshore","","Thunder Jet","",6,"offshore","ilya_add",NULL,0
18428,18424,"V-186","","Thunder Jet","",6,"v186","ilya_add",NULL,0
18429,NULL,"Николь","Николь","","",NULL,"nikol","ilya_add",NULL,0
18430,18429,"Фаворит","","Николь","",6,"favorit","ilya_add",NULL,0
18431,NULL,"Cantieri MIMI","Cantieri MIMI","","",NULL,"cantierimimi","ilya_add",NULL,0
18432,18431,"Libeccio","","Cantieri MIMI","",6,"libeccio","ilya_add",NULL,0
18433,NULL,"Hanse","Hanse","","",NULL,"hanse","ilya_add",NULL,0
18434,18433,"Hanse 375","","Hanse","",6,"375","ilya_add",NULL,0
18435,18433,"Hanse 400","","Hanse","",6,"400","ilya_add",NULL,0
18436,NULL,"Phoenix Marine","Phoenix Marine","","",NULL,"phoenixmarine","ilya_add",NULL,0
18437,18436,"Ferox","","Phoenix Marine","",6,"ferox","ilya_add",NULL,0
18438,18436,"Sand Martin","","Phoenix Marine","",6,"sandmartin","ilya_add",NULL,0
18439,NULL,"Tigarbo","Tigarbo","","",NULL,"tigarbo","ilya_add",NULL,0
18440,18439,"КМ86","","Tigarbo","",6,"km86","ilya_add",NULL,0
18441,18439,"ПЛ-12","","Tigarbo","",6,"pl12","ilya_add",NULL,0
18442,NULL,"НМВ","НМВ","","",NULL,"nmv","ilya_add",NULL,0
18443,18442,"Snuker","","НМВ","",6,"snuker","ilya_add",NULL,0
18444,NULL,"Cantieri Navali Arno","Cantieri Navali Arno","","",NULL,"cantierinavaliarno","ilya_add",NULL,0
18445,18444,"Leopard 23","","Cantieri Navali Arno","",6,"leopard23","ilya_add",NULL,0
18446,NULL,"Harbercraft","Harbercraft","","",NULL,"harbercraft","ilya_add",NULL,0
18447,18446,"1625 Warrior","","Harbercraft","",6,"1625warrior","ilya_add",NULL,0
18448,18446,"Fastwater","","Harbercraft","",6,"fastwater","ilya_add",NULL,0
18449,18446,"Trio Sport","","Harbercraft","",6,"triosport","ilya_add",NULL,0
18450,NULL,"Pioneer","Pioneer","","",NULL,"pioneer","ilya_add",NULL,0
18451,18450,"K43","","Pioneer","",6,"k43","ilya_add",NULL,0
18452,NULL,"Tige","Tige","","",NULL,"tige","ilya_add",NULL,0
18453,18452,"20 V RE","","Tige","",6,"20vre","ilya_add",NULL,0
18454,18452,"20V","","Tige","",6,"20v","ilya_add",NULL,0
18455,18452,"22Ve","","Tige","",6,"22ve","ilya_add",NULL,0
18456,18452,"RZ 2","","Tige","",6,"rz2","ilya_add",NULL,0
18457,18452,"Z1","","Tige","",6,"z1","ilya_add",NULL,0
18458,18452,"20i","","Tige","",6,"20i","ilya_add",NULL,0
18459,18452,"22i","","Tige","",6,"22i","ilya_add",NULL,0
18460,18452,"24 Ve","","Tige","",6,"24ve","ilya_add",NULL,0
18461,18452,"RZ4","","Tige","",6,"rz4","ilya_add",NULL,0
18462,NULL,"Одиссей","Одиссей","","",NULL,"odissej","ilya_add",NULL,0
18463,18462,"Одиссей 530","","Одиссей","",6,"530","ilya_add",NULL,0
18464,NULL,"Caravelle","Caravelle","","",NULL,"caravelle","ilya_add",NULL,0
18465,18464,"Bow Rider","","Caravelle","",6,"bowrider","ilya_add",NULL,0
18466,18464,"Sport Cabin","","Caravelle","",6,"sportcabin","ilya_add",NULL,0
18467,NULL,"HewesCraft","HewesCraft","","",NULL,"hewescraft","ilya_add",NULL,0
18468,18467,"Ocean Pro","","HewesCraft","",6,"oceanpro","ilya_add",NULL,0
18469,NULL,"Pisillipo","Pisillipo","","",NULL,"pisillipo","ilya_add",NULL,0
18470,18469,"Technema","","Pisillipo","",6,"technema","ilya_add",NULL,0
18471,NULL,"Timmermann","Timmermann","","",NULL,"timmermann","ilya_add",NULL,0
18472,18471,"25","","Timmermann","",6,"25","ilya_add",NULL,0
18473,18471,"31","","Timmermann","",6,"31","ilya_add",NULL,0
18474,NULL,"Патриот","Патриот","","",NULL,"patriot","ilya_add",NULL,0
18475,18474,"470","","Патриот","",6,"470","ilya_add",NULL,0
18476,18474,"Foxtrot-515","","Патриот","",6,"foxtrot515","ilya_add",NULL,0
18477,NULL,"Carolina Skiff","Carolina Skiff","","",NULL,"carolinaskiff","ilya_add",NULL,0
18478,18477,"JVX Series","","Carolina Skiff","",6,"jvx","ilya_add",NULL,0
18479,18477,"DLV Series","","Carolina Skiff","",6,"dlv","ilya_add",NULL,0
18480,NULL,"Hilter","Hilter","","",NULL,"hilter","ilya_add",NULL,0
18481,18480,"Royal","","Hilter","",6,"royal","ilya_add",NULL,0
18482,NULL,"Pluckebaum","Pluckebaum","","",NULL,"pluckebaum","ilya_add",NULL,0
18483,18482,"Houseboat","","Pluckebaum","",6,"houseboat","ilya_add",NULL,0
18484,NULL,"Tohatsu","Tohatsu","","",NULL,"tohatsu","ilya_add",NULL,0
18485,18484,"ТС 20","","Tohatsu","",6,"ts20","ilya_add",NULL,0
18486,NULL,"Пелла","Пелла","","",NULL,"pella","ilya_add",NULL,0
18487,18486,"ЛЭС","","Пелла","",6,"les","ilya_add",NULL,0
18488,5053,"AFT","","Carver","",6,"aft","ilya_add",NULL,0
18489,5053,"Express","","Carver","",6,"express","ilya_add",NULL,0
18490,5053,"Motor Yacht","","Carver","",6,"motoryacht","ilya_add",NULL,0
18491,NULL,"Holiday Mansion","Holiday Mansion","","",NULL,"holidaymansion","ilya_add",NULL,0
18492,18491,"Coastal Barracuda","","Holiday Mansion","",6,"coastalbarracuda","ilya_add",NULL,0
18493,15394,"2100 DC","","Polar","",6,"2100dc","ilya_add",NULL,0
18494,15394,"2700 WA","","Polar","",6,"2700wa","ilya_add",NULL,0
18495,NULL,"Tracker","Tracker","","",NULL,"tracker","ilya_add",NULL,0
18496,18495,"Nitro 882","","Tracker","",6,"nitro882","ilya_add",NULL,0
18497,18495,"Pro Guide","","Tracker","",6,"proguide","ilya_add",NULL,0
18498,18495,"Pro Team","","Tracker","",6,"proteam","ilya_add",NULL,0
18499,18495,"Targa","","Tracker","",6,"targa","ilya_add",NULL,0
18500,18495,"Tundra","","Tracker","",6,"tundra","ilya_add",NULL,0
18501,NULL,"Пласт","Пласт","","",NULL,"plast","ilya_add",NULL,0
18502,18501,"Вектор","","Пласт","",6,"vektor","ilya_add",NULL,0
18503,18501,"Гарпун","","Пласт","",6,"garpun","ilya_add",NULL,0
18504,18501,"Касатка","","Пласт","",6,"kasatka","ilya_add",NULL,0
18505,NULL,"Castello","Castello","","",NULL,"castello","ilya_add",NULL,0
18506,18505,"Afrodite","","Castello","",6,"afrodite","ilya_add",NULL,0
18507,18505,"Amazon","","Castello","",6,"amazon","ilya_add",NULL,0
18508,NULL,"Hovercraft","Hovercraft","","",NULL,"hovercraft","ilya_add",NULL,0
18509,18508,"Christy","","Hovercraft","",6,"christy","ilya_add",NULL,0
18510,NULL,"Polar Kraft","Polar Kraft","","",NULL,"polarkraft","ilya_add",NULL,0
18511,18510,"198 WTC","","Polar Kraft","",6,"198wtc","ilya_add",NULL,0
18512,15494,"720","","Trident","",6,"720","ilya_add",NULL,0
18513,NULL,"Посейдон","Посейдон","","",NULL,"posejdon","ilya_add",NULL,1
18514,18513,"Посейдон","","Посейдон","",6,"posejdon","ilya_add",NULL,0
18515,NULL,"Catran","Catran","","",NULL,"catran","ilya_add",NULL,0
18516,18515,"550","","Catran","",6,"550","ilya_add",NULL,0
18517,NULL,"Hovertour","Hovertour","","",NULL,"hovertour","ilya_add",NULL,0
18518,18517,"Hovertour 700","","Hovertour","",6,"700","ilya_add",NULL,0
18519,NULL,"PowerQuest","PowerQuest","","",NULL,"powerquest","ilya_add",NULL,0
18520,18519,"Razor 22","","PowerQuest","",6,"razor22","ilya_add",NULL,0
